# time,theta_1,theta_2,omega_1,omega_2
1.789789789789789864e+01,-2.805403107093651727e+01,1.045512481152775450e+02,-2.917796802342471807e+01,1.997761023533520941e+01
1.793793793793793867e+01,-2.915116002476598567e+01,1.052923800893795629e+02,-2.564352279660354483e+01,1.703867445588917207e+01
1.797797797797797870e+01,-3.010305021167670603e+01,1.059181275430275662e+02,-2.198171562871687712e+01,1.419996091398567906e+01
1.801801801801801872e+01,-3.090532001991756772e+01,1.064320879725127469e+02,-1.819835797578502579e+01,1.145002907537870485e+01
1.805805805805805875e+01,-3.155405937139160599e+01,1.068373485449272096e+02,-1.430417226766745742e+01,8.776060390474619055e+00
1.809809809809809877e+01,-3.204582972165600552e+01,1.071364860981639708e+02,-1.031479190806275881e+01,6.163858294332218435e+00
1.813813813813813880e+01,-3.237766405992209684e+01,1.073315671409169312e+02,-6.250761274508700005e+00,3.597848206662673576e+00
1.817817817817817883e+01,-3.254706690905535282e+01,1.074241478526809317e+02,-2.137535718382190808e+00,1.061077531829562437e+00
1.821821821821821885e+01,-3.255201432557540642e+01,1.074152740837516831e+02,1.994518435100706588e+00,-1.464784341151113001e+00
1.825825825825825888e+01,-3.239095389965601157e+01,1.073054813552258508e+02,6.110123886884821331e+00,-3.999446038610995569e+00
1.829829829829829890e+01,-3.206251551584470860e+01,1.070950383844966467e+02,1.018888413226985179e+01,-6.571365580739614742e+00
1.833833833833833893e+01,-3.156995662862810192e+01,1.067822429678475942e+02,1.421508566204564694e+01,-9.201265264642948694e+00
1.837837837837837895e+01,-3.091921573271383394e+01,1.063639100299473483e+02,1.815552068016611287e+01,-1.189511073213516212e+01
1.841841841841841898e+01,-3.011582948962305295e+01,1.058366509332702776e+02,2.198468950561325030e+01,-1.465941031330120303e+01
1.845845845845845901e+01,-2.916492785563581336e+01,1.051968757317518737e+02,2.568487132655469196e+01,-1.750125068656957694e+01
1.849849849849849903e+01,-2.807123408179101531e+01,1.044407931707886377e+02,2.924612420034370430e+01,-2.042829687871233091e+01
1.853853853853853906e+01,-2.683906471388645087e+01,1.035644106872381087e+02,3.266628505351919642e+01,-2.344879226484506063e+01
1.857857857857857908e+01,-2.547232959247877560e+01,1.025635344094189492e+02,3.595096968180572361e+01,-2.657155856842690511e+01
1.861861861861861911e+01,-2.397453185288352273e+01,1.014337691571108024e+02,3.911357275011344825e+01,-2.980599586126056266e+01
1.865865865865865914e+01,-2.234876792517510324e+01,1.001705184415544352e+02,4.217526779253821445e+01,-3.316208256349228378e+01
1.869869869869869916e+01,-2.059772753418679514e+01,9.876898446545159516e+01,4.516500721236144500e+01,-3.665037544361184274e+01
1.873873873873873919e+01,-1.872369369951076479e+01,9.722416812296516753e+01,4.811952228205021953e+01,-4.028200961845256955e+01
1.877877877877877921e+01,-1.672854273549803139e+01,9.553086899971903279e+01,5.108332314325731716e+01,-4.406869855319136775e+01
1.881881881881881924e+01,-1.461374425125850074e+01,9.368368537279813779e+01,5.410869880682106015e+01,-4.802273406134866462e+01
1.885885885885885926e+01,-1.238036099914105748e+01,9.167701415689505495e+01,5.725571340016352195e+01,-5.215698385622845734e+01
1.889889889889889929e+01,-1.002469501134871344e+01,8.950387918065023030e+01,6.055236210519898066e+01,-5.645861723635305651e+01
1.893893893893893932e+01,-7.533570968629009990e+00,8.715527468661791488e+01,6.406873017670895365e+01,-6.094108227758093221e+01
1.897897897897897934e+01,-4.892809337777420886e+00,8.462192135133254567e+01,6.791080025719128344e+01,-6.564849635471115619e+01
1.901901901901901937e+01,-2.087408808875133914e+00,8.189394827799840471e+01,7.215726429276959664e+01,-7.061575435662624045e+01
1.905905905905905939e+01,8.984537047109452113e-01,7.896089299648957649e+01,7.685952353319319741e+01,-7.586852868629212310e+01
1.909909909909909942e+01,4.081423066328206950e+00,7.581170146334997639e+01,8.204168853183716692e+01,-8.142326926075807592e+01
1.913913913913913944e+01,7.478965916038312400e+00,7.243472806179336487e+01,8.770057914570229229e+01,-8.728720351115687492e+01
1.917917917917917947e+01,1.110937067061720462e+01,6.881773560170330484e+01,9.380572453541506661e+01,-9.345833638270464405e+01
1.921921921921921950e+01,1.499174752355513540e+01,6.494789531963320428e+01,1.002993631652277458e+02,-9.992545033470092619e+01
1.925925925925925952e+01,1.915626551357134133e+01,6.080472083714221299e+01,1.072512163496496953e+02,-1.067573798952481496e+02
1.929929929929929955e+01,2.360004581718142447e+01,5.638434321353402368e+01,1.138093910542938971e+02,-1.135086135393026439e+02
1.933933933933933957e+01,2.824844348337698108e+01,5.172349312322209869e+01,1.182942844636521187e+02,-1.192691365346761785e+02
1.937937937937937960e+01,3.299866114891142388e+01,4.687227662584790266e+01,1.194650295508488540e+02,-1.233853291616579071e+02
1.941941941941941963e+01,3.772058827566825556e+01,4.189363996497423415e+01,1.165383669011959995e+02,-1.254707385083553532e+02
1.945945945945945965e+01,4.225680115066107589e+01,3.686336956808536769e+01,1.091886447121926835e+02,-1.254060784706944389e+02
1.949949949949949968e+01,4.642256288603358172e+01,3.187009204658698636e+01,9.754781879352553631e+01,-1.233392297524194419e+02
1.953953953953953970e+01,5.003250826316390487e+01,2.700095245118096088e+01,8.257743269255144014e+01,-1.198654121460168511e+02
1.957957957957957973e+01,5.300458218479878525e+01,2.228230163555996057e+01,6.587175555278632544e+01,-1.158866447883230961e+02
1.961961961961961975e+01,5.529612477469675014e+01,1.771854986477238469e+01,4.829447562532592997e+01,-1.118801750655413372e+02
1.965965965965965978e+01,5.688107091789225933e+01,1.330881484537614945e+01,3.047346274831448198e+01,-1.081324824596434127e+02
1.969969969969969981e+01,5.775015942263262758e+01,9.046845356985119935e+00,1.281271261858562482e+01,-1.047451386534279578e+02
1.973973973973973983e+01,5.791093302037795354e+01,4.921021252269059509e+00,-4.507653208337533357e+00,-1.016348075305204190e+02
1.977977977977977986e+01,5.738639643017852165e+01,9.154643695925991365e-01,-2.152067810597912967e+01,-9.855053214341661771e+01
1.981981981981981988e+01,5.618999075253351094e+01,-2.968549597197440715e+00,-3.821962669046582306e+01,-9.535562906959735585e+01
1.985985985985985991e+01,5.433323672302082485e+01,-6.719031816144108937e+00,-5.451136180705088918e+01,-9.190390270774020109e+01
1.989989989989989994e+01,5.183331931641752277e+01,-1.032177811178546811e+01,-7.031890163079593492e+01,-8.803613923259219121e+01
1.993993993993993996e+01,4.871056769663577057e+01,-1.375851212277602897e+01,-8.556989069430387929e+01,-8.362347071940698129e+01
1.997997997997997999e+01,4.498845521672297565e+01,-1.700688530188676850e+01,-1.001965998877191026e+02,-7.856737514394484378e+01
2.002002002002002001e+01,4.069359941886165188e+01,-2.004047691600509751e+01,-1.141359264587273685e+02,-7.279967638247265427e+01
2.006006006006006004e+01,3.585576203436951914e+01,-2.282879404613489527e+01,-1.273293940125557242e+02,-6.628254421176387723e+01
2.010010010010010006e+01,3.051429286885187864e+01,-2.534440653400247712e+01,-1.396694037508312363e+02,-5.903296088733038260e+01
2.014014014014014009e+01,2.469928295684136188e+01,-2.755792493270816479e+01,-1.511603643837786990e+02,-5.111801698702902996e+01
2.018018018018018012e+01,1.842818584201224752e+01,-2.943555931866200481e+01,-1.618955171243363793e+02,-4.264727355122084873e+01
2.022022022022022014e+01,1.173203001785856792e+01,-3.095920625329996412e+01,-1.718119452607853646e+02,-3.383444639226336648e+01
2.026026026026026017e+01,4.655713759437063004e+00,-3.212669586221275608e+01,-1.806879669609554071e+02,-2.499818993246473298e+01
