# time,theta,x,omega,v
1.617617617617617753e+01,-2.257527031145835750e+01,1.094124365884450079e+01,-1.892720098846693233e+00,-1.304980912139320637e+01
1.621621621621621756e+01,-2.264245214904585524e+01,1.042169166589058094e+01,-1.453066993648543193e+00,-1.290057508970313727e+01
1.625625625625625759e+01,-2.269068057069665656e+01,9.908324596528014894e+00,-9.634463403402856452e-01,-1.274138356954519757e+01
1.629629629629629761e+01,-2.271786333287652226e+01,9.401539630907851830e+00,-4.181367384295290868e-01,-1.257222055594968779e+01
1.633633633633633764e+01,-2.272175201458860272e+01,8.901732678981506552e+00,1.890366286160795883e-01,-1.239306324885175314e+01
1.637637637637637766e+01,-2.269994201737345563e+01,8.409298380500768388e+00,8.647019933688626647e-01,-1.220388005309138535e+01
1.641641641641641769e+01,-2.264987256530903537e+01,7.924630105017794079e+00,1.615941004441105555e+00,-1.200463057841342618e+01
1.645645645645645772e+01,-2.256892286623119404e+01,7.448165537087743537e+00,2.447020882644618922e+00,-1.179521583458956613e+01
1.649649649649649774e+01,-2.245417504118435303e+01,6.980474656550310186e+00,3.355533932297491528e+00,-1.157536128174624679e+01
1.653653653653653777e+01,-2.230121494437773322e+01,6.521879113147459606e+00,4.361324165424765198e+00,-1.134498688665335742e+01
1.657657657657657779e+01,-2.210505944111993415e+01,6.072706742127590651e+00,5.485446017139973485e+00,-1.110392669183994130e+01
1.661661661661661782e+01,-2.186026469703086406e+01,5.633328724446041491e+00,6.747306451289335705e+00,-1.085188884597211434e+01
1.665665665665665784e+01,-2.156092617804175759e+01,5.204159586765097600e+00,8.164664960451760933e+00,-1.058845560385306683e+01
1.669669669669669787e+01,-2.120067865039516875e+01,4.785657201453981102e+00,9.753633565938846672e+00,-1.031308332642307057e+01
1.673673673673673790e+01,-2.077269618064497081e+01,4.378322786588858762e+00,1.152867681779487086e+01,-1.002510248075946819e+01
1.677677677677677792e+01,-2.026969213565634576e+01,3.982700905952840209e+00,1.350261179479680429e+01,-9.723717640076676716e+00
1.681681681681681795e+01,-1.968391918260581264e+01,3.599379469035975276e+00,1.568660810445430265e+01,-9.408007483726194664e+00
1.685685685685685797e+01,-1.900716928898119562e+01,3.228989731035256661e+00,1.809018788300971181e+01,-9.076924797196589623e+00
1.689689689689689800e+01,-1.823077372258164530e+01,2.872206292854620813e+00,2.072122579543805898e+01,-8.729296472113510674e+00
1.693693693693693803e+01,-1.734560305151762094e+01,2.529747101104942608e+00,2.358594903544706156e+01,-8.363823506239677741e+00
1.697697697697697805e+01,-1.634206714421091533e+01,2.202373448104043341e+00,2.668893732547712716e+01,-7.979081003474892242e+00
1.701701701701701808e+01,-1.521011516939462638e+01,1.890889971876682729e+00,3.003312291670134115e+01,-7.573518173856023772e+00
1.705705705705705810e+01,-1.393923559611318375e+01,1.596144656154566022e+00,3.361979058902547735e+01,-7.145458333557026087e+00
1.709709709709709813e+01,-1.251845715725698938e+01,1.319028833128510492e+00,3.744857030206447490e+01,-6.693099093716610604e+00
1.713713713713713815e+01,-1.093934946771662453e+01,1.060514998965095934e+00,4.148586678516461035e+01,-6.215004097959655915e+00
1.717717717717717818e+01,-9.195495118210832430e+00,8.217114094592367080e-01,4.565211442705317779e+01,-5.709745191730341674e+00
1.721721721721721821e+01,-7.282773919177006228e+00,6.037306885841421389e-01,4.985867662309201620e+01,-5.176274571208820063e+00
1.725725725725725823e+01,-5.202233959176298939e+00,4.076644600595454859e-01,5.399588980719440201e+01,-4.614581539377315522e+00
1.729729729729729826e+01,-2.960091604893589246e+00,2.345833473517042744e-01,5.793306345182509176e+01,-4.025692506020117634e+00
1.733733733733733828e+01,-5.677315011375132503e-01,8.553697367340085123e-02,6.151848006800034341e+01,-3.411670987723586901e+00
1.737737737737737831e+01,1.958318129601683832e+00,-3.844810397878371117e-02,6.457953699647252677e+01,-2.775608640134652472e+00
1.741741741741741833e+01,4.596181673662345091e+00,-1.366084968485787865e-01,6.694470038187570538e+01,-2.121497079347851145e+00
1.745745745745745836e+01,7.311635904255268770e+00,-2.083804935936484637e-01,6.847065071700518502e+01,-1.456494476615204592e+00
1.749749749749749839e+01,1.006702779957280747e+01,-2.534053065581852726e-01,6.905780333526639936e+01,-7.884757437622975651e-01
1.753753753753753841e+01,1.282490200238559730e+01,-2.716583315166906099e-01,6.865909711667630688e+01,-1.248765578249382280e-01
1.757757757757757844e+01,1.554800082004255124e+01,-2.634491476739755367e-01,6.727999448786344772e+01,5.273066389508400675e-01
1.761761761761761846e+01,1.819926422447088044e+01,-2.294215176651598909e-01,6.497848142206792943e+01,1.161516639108781224e+00
1.765765765765765849e+01,2.074190106755206386e+01,-1.705451221960839481e-01,6.186496515801247398e+01,1.771635659096003179e+00
